CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
61079,2076,2113,4189,Anthisnes,Anthisnes
61080,3039,3099,6138,Engis,Engis
61081,1316,1390,2706,Tinlot,Tinlot
62000,304314,320108,624422,Arrondissement Luik,Arrondissement de Liège
62003,13517,14856,28373,Ans,Ans
62006,4455,4863,9318,Awans,Awans
62009,6124,6312,12436,Aywaille,Aywaille
62011,4422,4483,8905,Bitsingen,Bassenge
62015,5745,6184,11929,Beyne-Heusay,Beyne-Heusay
62022,9969,10831,20800,Chaudfontaine,Chaudfontaine
62026,2629,2775,5404,Comblain-au-Pont,Comblain-au-Pont
62027,3637,3771,7408,Dalhem,Dalhem
62032,6252,6665,12917,Esneux,Esneux
62038,7815,8711,16526,Fléron,Fléron
62051,19328,20661,39989,Herstal,Herstal
62060,4614,4681,9295,Juprelle,Juprelle
62063,97853,99474,197327,Luik,Liège
62079,12374,13072,25446,Oupeye,Oupeye
62093,11626,12637,24263,Saint-Nicolas (Luik),Saint-Nicolas (Liège)
62096,30956,33303,64259,Seraing,Seraing
62099,8249,8676,16925,Soumagne,Soumagne
62100,7082,7630,14712,Sprimont,Sprimont
62108,8593,9219,17812,Wezet,Visé
62118,11088,11572,22660,Grâce-Hollogne,Grâce-Hollogne
62119,6506,6786,13292,Blegny,Blegny
62120,12616,13688,26304,Flémalle,Flémalle
62121,4832,5091,9923,Neupré,Neupré
62122,4032,4167,8199,Trooz,Trooz
63000,141952,145820,287772,Arrondissement Verviers,Arrondissement de Verviers
63001,2812,2662,5474,Amel,Amblève
63003,2097,2191,4288,Aubel,Aubel
63004,2221,2233,4454,Baelen,Baelen
63012,2821,2657,5478,Büllingen,Bullange
63013,2814,2796,5610,Bütgenbach,Butgenbach
63020,7494,7754,15248,Dison,Dison
63023,9645,10032,19677,Eupen,Eupen
63035,8555,9054,17609,Herve,Herve
63038,4293,4292,8585,Jalhay,Jalhay
63040,5469,5639,11108,Kelmis,La Calamine
63045,1810,1804,3614,Lierneux,Lierneux
