CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
23027,TOTAL,31999,7541,39540,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde)
23027,MAN,16012,3132,19144,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde)
23027,VROUW,15987,4409,20396,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde)
23032,TOTAL,5278,1387,6665,Herne,Herne
23032,MAN,2662,616,3278,Herne,Herne
23032,VROUW,2616,771,3387,Herne,Herne
23033,TOTAL,9236,2085,11321,Hoeilaart,Hoeilaart
23033,MAN,4638,916,5554,Hoeilaart,Hoeilaart
23033,VROUW,4598,1169,5767,Hoeilaart,Hoeilaart
23038,TOTAL,9756,2216,11972,Kampenhout,Kampenhout
23038,MAN,4870,1016,5886,Kampenhout,Kampenhout
23038,VROUW,4886,1200,6086,Kampenhout,Kampenhout
23039,TOTAL,7436,1977,9413,Kapelle-op-den-Bos,Kapelle-op-den-Bos
23039,MAN,3707,861,4568,Kapelle-op-den-Bos,Kapelle-op-den-Bos
23039,VROUW,3729,1116,4845,Kapelle-op-den-Bos,Kapelle-op-den-Bos
23044,TOTAL,10530,2765,13295,Liedekerke,Liedekerke
23044,MAN,5281,1223,6504,Liedekerke,Liedekerke
23044,VROUW,5249,1542,6791,Liedekerke,Liedekerke
23045,TOTAL,14961,3788,18749,Londerzeel,Londerzeel
23045,MAN,7514,1685,9199,Londerzeel,Londerzeel
23045,VROUW,7447,2103,9550,Londerzeel,Londerzeel
23047,TOTAL,13256,2213,15469,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde)
23047,MAN,6584,913,7497,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde)
23047,VROUW,6672,1300,7972,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde)
23050,TOTAL,15549,3862,19411,Meise,Meise
23050,MAN,7697,1755,9452,Meise,Meise
23050,VROUW,7852,2107,9959,Meise,Meise
23052,TOTAL,13333,3250,16583,Merchtem,Merchtem
23052,MAN,6709,1408,8117,Merchtem,Merchtem
23052,VROUW,6624,1842,8466,Merchtem,Merchtem
23060,TOTAL,11830,2717,14547,Opwijk,Opwijk
23060,MAN,5929,1214,7143,Opwijk,Opwijk
23060,VROUW,5901,1503,7404,Opwijk,Opwijk
23062,TOTAL,20302,5101,25403,Overijse,Overijse
23062,MAN,10161,2261,12422,Overijse,Overijse
23062,VROUW,10141,2840,12981,Overijse,Overijse
23064,TOTAL,3596,883,4479,Pepingen,Pepingen
23064,MAN,1832,392,2224,Pepingen,Pepingen
23064,VROUW,1764,491,2255,Pepingen,Pepingen
23077,TOTAL,27957,6271,34228,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
23077,MAN,13939,2794,16733,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
23077,VROUW,14018,3477,17495,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
23081,TOTAL,9732,2403,12135,Steenokkerzeel,Steenokkerzeel
23081,MAN,4851,1089,5940,Steenokkerzeel,Steenokkerzeel
23081,VROUW,4881,1314,6195,Steenokkerzeel,Steenokkerzeel
23086,TOTAL,12605,3141,15746,Ternat,Ternat
23086,MAN,6313,1419,7732,Ternat,Ternat
